ID	Valid	SU	Fn	NFn	Ctx	Form	Root
ambulans	1	ambulan	n		alat	-	ambulan
ampas	1	hampas	n		-	-	hampas
amplop	1		n		-	-	amplop
amunisi	1		n		-	-	amunisi
anak	0	pecil	-				pecil
anak;istri;cucu;keluarga	0	bondoroyot	-				bondoroyot
anakku	1	anaking	pn		-	-	anak
analisis	1		n		-	-	analisis
ancaman	1	anceman	n		-	-	ancem
ancamnya	1	ancemna	n		-	-	ancem
ancang-ancang	1	awahan	n		-	-	awah
aneh	1	ahéng	a		-	-	ahéng
aneh-aneh	1	ararahéng	ad		-	-	ahéng
aneka	1	rupa-rupa	n		-	-	rupa
anggapan	1		n		-	-	anggap
anggaran	1		n		-	-	anggar
anggota	1		n		-	-	anggota
anggotanya	1	anggotana	n		-	-	anggota
angin	1		n		-	-	métro
angin	1	angin	n				
angka	1		n		-	-	angkat
angkasa	1	jomantara	n		-	-	jomantara
angkatan	1		n		-	-	angkat
angklung	1		n		-	-	angklung
angsa	1	soang	n		sato	-	soang
aniaya	1	kaniaya	a		-	-	kaniaya
animasi	1		n		-	-	animasi
anjing	1		n		-	-	anjing
antaranya	1	antarana	-		-	-	antara
anti	1		n		-	-	anti
anting	1	kurabu	n		-	-	kurabu
antri	1	ngantay	n		-	-	antay
antri	0	untuy	-				untuy
anugerah	1	kasinugrahan	n		-	-	sinugrah
anugrah	1	kasinugrahan	n		-	-	sinugrah
anus	1	bool	n		-	-	bool
apapun	1	naon ogé	-		-	-	naon
aparat	1		n		-	-	aparat
api	1	seuneu	n		-	-	seuneu
apit	0	hapit	-				hapit
apotek	1	apoték	n		-	-	apoték
apotik	1	apoték	n		-	-	apoték
april	1		n		waktu	-	April
arah	1		n		-	-	arah
arahan	1		a		-	-	arah
area	1	wewengkon	n		-	-	wewengkon
arena	1	aréna	n		-	-	aréna
armada	1		n		-	-	armada
arsip	1		n		-	-	arsip
arsitek	1	arsiték	n		-	-	arsiték
arti	1	harti	n		-	-	harti
artikel	1		n		-	-	artikel
artinya	1	hartina	n		-	-	harti
arus	1		n		-	-	arus
asal	1		n		-	-	asal
asalnya	1	asalna	n		-	-	asal
asap	1	haseup	n		-	-	haseup
asas	1		n		-	-	asas
asasi	1		a		-	-	asasi
ashar	1	asar	n		agama	-	asar
asin	1		a		rasa	-	asin
asing	1		a		-	-	asing
asing	1	deungeun	a		-	-	deungeun
asli	1		a		-	-	asli
asli	1	pituin	a		-	-	pituin
aslinya	1	aslina	n		-	-	asli
asma	1	mengi	n		-	-	mengi
aspal	1		n		-	-	aspal
aspek	1	aspék	n		-	-	aspék
asrama	1		n		-	-	asrama
asri	1		a		-	-	asri
asyik	1	uplek	a		-	-	uplek
atap	1	hateup	n		-	-	hateup
atas	1	luhur	a		-	-	luhur
atasannya	1	saluhureunana	n		-	-	luhur
atasnya	1	luhurna	-		-	-	luhur
atlet	1	atlét	n		-	-	atlét
aturan	1		n		-	-	atur
awal	1	mimiti	a		tempat	-	mimiti
awalnya	1	mimitina	ad		-	-	mimiti
awalnya	1	awalna	ad		-	-	awal
awet	1	awét	a		-	-	awet
awut-awutan	1	pabaliut	a		-	-	baliut
ayam	1	hayam	n		sato	-	hayam
ayam	1	kotok	n		sato	-	kotok
ayat	1		n		-	-	ayat
bab	1		n		-	-	babar
babak	1		n		-	-	babak
babakan	1		n		-	-	babak
baca	1	maca	v		-	-	baca
bacaan	1		n		-	-	baca
badan	1	awak	n		-	-	awak
badan	0		n		awak	-	awak
badannya	1	awakna	n		-	-	awak
bagaikan	1	kawas	-		-	-	kawas
bagi	0	pasi	vi				pasi
bagi	0	bagé	vi				bagé
bagian	1		n		-	-	bagi
bagus	1	alus	a		-	-	alus
bahagia	1	bagja	a		-	-	bagja
bahan	1		n		-	-	bahan
bahasa	1	basa	n		-	-	basa
bahasanya	1	basana	n		-	-	basa
baik	1	alus	a		-	-	alus
baiklah	1	mangga	v		-	-	mangga
baiknya	1	alusna	-		-	-	alus
bait	1	pada	n		-	-	pada
baja	1	waja	n		-	-	waja
bajakan	1	bajoan	n		-	-	bajo
bajigur	1		n		-	-	bajigur
baju	0	kaway	-				kaway
baju	0	acuk	-				acuk
baju	1		n		-	-	baju
bakar	1	huru	v		-	-	huru
bakar	1	duruk	v		-	-	duruk
bakar	1	beuleum	v		-	-	beuleum
bakat	1		n		-	-	bakat
bakti	1	baktos	v		-	-	baktos
bakul	1	boboko	n		-	-	boboko
balai	1	balé	n		-	-	bale
balas	1	bales	v		-	-	bales
balasan	1	balesan	n		-	-	bales
balik	1		v		-	-	balik
baling-baling	1	kolécér	n		-	-	kolécér
bambu	1	awi	n		-	-	awi
bandel	1	liwar	a		-	-	liwar
banding	1		v		-	-	banding
banget	1	pisan	-		-	-	pisan
bangga	0	agul	-				agul
bangga	1	reueus	a		-	-	reueus
bangganya	1	reueusna	n		-	-	reueus
bangkai	1	bugang	n		-	-	bugang
bangkit	1	ngoréjat	v		-	-	koréjat
bangsa	1		n		-	-	bangsa
bangunan	1	wangunan	n		-	-	wangun
banjir	1	caah	n		-	-	caah
bank	1		n		-	-	bank
banteng	1	banténg	n		-	-	banténg
banting	1	beubeut	v		-	-	beubeut
banting	1		v		-	-	banting
bantingan	1		n		-	-	banting
bantu	1		v		-	-	bantu
bantuan	1		n		-	-	bantu
banyak	1	réa	a		-	-	réa
banyak	1	loba	-		-	-	loba
banyaknya	1	lobana	-		-	-	loba
barang	1		n		-	-	barang
barat	1	kulon	n		arah	-	kulon
baret	1	barét	n		-	-	barét
baris	1	jajar	n		-	-	jajar
baru	1	anyar	a		-	-	anyar
barunya	1	anyarna	a		-	-	anyar
basah	1	baseuh	a		-	-	baseuh
basi	1	bari	a		-	-	bari
basis	1		n		-	-	basis
basket	1	baskét	n		-	-	baskét
baso	1		n		-	-	baso
batal	1	bedo	v		-	-	bedo
batalkan	1	batalkeun	vi		-	-	batal
batang	1		n		-	-	batang
batas	1	wates	n		-	-	wates
batasan	1	watesan	n		-	-	wates
batu	1		n		-	-	batu
batuk-batuk	1	ngohkoh	v		-	-	kohkoh
bau	1	ambeu	n		-	-	ambeu
bawa	1		v		-	-	bawa
bawah	1	handap	-		-	-	handap
bawang	1		n		-	-	bawang
bayang-bayang	1	kalangkang	n		-	-	kalangkang
bayangkan	1	bayangkeun	-		-	-	bayang
bayarannya	1	bayaranana	n		-	-	bayaran
bayi	1	orok	n		-	-	orok
beban	1	beungbeurat	n		-	-	beurat
bebas	1	bébas	-		-	-	bébas
bebas	1	leupas	ad				leupas
bebek	1	éntog	n		sato	-	éntog
beber	0	dadar	-				dadar
beberapa	1	sababaraha	b		-	-	sababaraha
becek	1	bécék	a		-	-	bécék
becek	0	jeblog	-				jeblog
beda	1	béda	a		-	-	béda
beda	0	kacek	-				kacek
beda/berubah	0	géséh	-				géséh
bedak	1	wedak	n		-	-	wedak
bedanya	1	bédana	n		-	-	béda
bedug	1		n		-	-	bedug
bedugnya	1	bedugna	n		-	-	bedug
bejat	1	bejad	a		-	-	bejad
bekal	1	bekel	n		-	-	bekel
bekas	1	urut	a		-	-	urut
bekas	0	ruruntuk	-				ruruntuk
bekasi	1		n		-	-	bekasi
bekerja	1	digawé	v		-	-	gawé
bekerjanya	1	damelna	v		-	-	damel
bekerjasama	1	migawé bareng	-		-	-	gawé
belajar	1	diajar	-		-	-	ajar
belakangan	1	pandeuri 	a		tempat	-	pandeuri
belalang	1	simeut	n		sato	-	simeut
belanja	1	balanja	v		-	-	balanja
belasan	1	welasan	b		-	-	welas
belepotan	1	lambokot	a		-	-	lambokot
belerang	1	walirang	n		logam	-	walirang
beli	1	beuli	v		-	-	beuli
belikat	1	walikat	n		awak	-	walikat
belok	1	méngkol	a		-	-	péngkol
belulang	1	sanggal	n		awak	-	sanggal
belut	1		n		-	-	belut
benar	1	bener	a		-	-	bener
benarnya	1	benerna	a		-	-	bener
bencana	1	musibah	n		-	-	musibah
benci	1	ceuceub	a		-	-	ceuceub
benci	1	cua	e		-	-	cua
benci	0	giruk	-				giruk
benda	1	barang	n		-	-	barang
bendera	1	bendéra	n		-	-	bendéra
bener	1		a		-	-	bener
bengkak	1	bareuh	a		-	-	bareuh
bengkok	1	béngkok	a		-	-	béngkok
bengong	1	hookeun	a		-	-	hookeun
benih	1	binih	n		-	-	binih
bening	1	wening	a		-	-	wening
bening	1	hérang	a		warna	-	hérang
bentol-bentol	1	baréntol	ad		-	-	béntol
bentuk	1	wangun	n		-	-	wangun
bentukan	1	jieunan	n		-	-	jieun
bentuknya	1	bentukna	n		-	-	bentuk
bepergian	0	ancrud	-				ancrud
bepergian	0	ngaber	v				aber
bepergian	1	indit-inditan	v		-	-	indit
berada	1	aya	-		-	-	aya
beradu	1	diadu	vp		-	-	adu
beragam	1	rupa-rupa	-		-	-	rupa
beragama	1	ngagem agama	v		-	-	agama
berair	1	caian	a		-	-	cai
berak	1	ngising	v		-	-	ising
berak	0	éé	-				éé
berakhir	1	lekasan	-		-	-	lekas
beraksi	1	boga aksi	v		-	-	aksi
beralih	1	pindah	-		-	-	pindah
berambut	1	rambutan	v		agama	-	rambutan
beranak	1	boga anak	v		-	-	anak
berandal	1	baragajul	n		-	-	baragajul
berangkat	1	indit	v		-	-	indit
berani	1	wani	a		-	-	wani
berani	0	ludeung	-				ludeung
berantakan	1	bakrek	a		-	-	bakrek
berantakan	1	bacacar	a		-	-	bacacar
berantem	1	garelut	v		-	-	gelut
berapi	1	seuneuan	a		-	-	seuneu
berarti	1	hartina	v		-	-	harti
berarti	1	hartosna	v		-	-	hartos
beras	1	béas	n		dahar	-	béas
berasal	1	asalna	v		-	-	asal
berat	1	beurat	a		-	-	beurat
beratnya	1	abotna	n		-	-	abot
berayun	1	gulawing	v		-	-	gulawing
berayun-ayun	1	ngagabig	v		-	-	gabig
berbagai	1	sagala rupa	-		-	-	rupa
berbagi	1	babagi	v		-	-	bagi
berbahaya	1	picilakaeun	a		-	-	cilaka
berbakti	1	bakti	v		-	-	bakti
berbalik	1	malik	v		-	-	malik
berbantah	1	hoghag	v		-	-	hoghag
berbantahan	1	padungdengan	v		-	-	padungdengan
berbarengan	1	babarengan	a		-	-	bareng
berbaring	1	ngedeng	v		-	-	kedeng
berbaring	1	ngebog	v		-	-	ebog
berbaring	1	ngagolér	v		-	-	golér
berbaris	1	ngajajar	v		-	-	jajar
berbau	1	kaangseu	vp				
berbayar	1	kudu mayar	v		-	-	mayar
berbeda	1	béda	a		-	-	béda
berbekal	1	mawa bekel	v		-	-	bekel
berbelok-belok	1	arileu	v		-	-	arileu
berbentuk	1	ngawangun	v		-	-	wangun
berbicara	1	nyarita	v		-	-	carita
berbicara	0	ngomong	v		-	-	omong
berbisik	1	ngaharéwos	v				haréwos
berbisnis	1	babalantik	v		-	-	balantik
berbondong-bondong	1	ngabrul	v		-	-	abrul
berbuat	1	migawé	v		-	-	gawé
berburu	1	moro	v		-	-	boro
bercakap-cakap	1	ngobrol	v		-	-	obrol
bercampur	1	galo	v		-	-	galo
berceceran	1	awér	a		-	-	awér
berceceran	1	bayabah	a		-	-	bayabah
bercengkrama	1	macangkrama	v		-	-	macangkrama
bercerai	1	pirak	v		-	-	pirak
bercerita	1	nyaritakeun	v		-	-	carita
bercermin	1	ngeunteung	v		-	-	eunteung
bercocok-tanam	1	tataman	v		-	-	taman
berdandan	1	dangdan	v		-	-	dangdan
berdarah	1	getihan	a		-	-	getih
berdasar	1	dumasar	v		-	-	dumasar
berdasarkan	1	dumasar	v		-	-	dasar
berdatangan	1	daratang	v		-	-	datang
berdatangan	1	rajol	v		-	-	rajol
berdecak	1	macrek	v		-	-	crek
berdehem	1	ngadéhém	v		-	-	déhém
berdekatan	1	padeukeut	a		-	-	deukeut
berdelapan	1	dalapanan	b		-	-	dalapan
berdering	1	ngirining	v		-	-	kirining
berdesing	1	ngahieng	v		-	-	hieng
berdiang	1	ngadéang	v		-	-	déang
berdikari	1	macakal	v		-	-	macakal
berdiri	1	nangtung	v		-	-	tangtung
berdiskusi	1	sawala	v		-	-	sawala
berdua	1	duaan	b		-	-	duaan
berduaan	1	paduduaan	v		-	-	dua
berdurasi	1	boga durasi	v		-	-	durasi
berduyun-duyun	1	nakleuk	v		-	-	takleuk
berebutan	1	pagorényang	v		-	-	gorényang
beredar	1	medar	v		-	-	pedar
beredarnya	1	medarna	v		-	-	pedar
berempat	1	opatan	b		-	-	opat
berenam	1	genepan	b		-	-	genep
berenang	1	ngojay	v		-	-	kojay
berencana	1	boga rencana	v		-	-	rencana
beres	1	bérés	a		-	-	bérés
berformat	1	boga format	v		-	-	format
berfungsi	1	boga fungsi	v		-	-	fungsi
bergabung	1	ngagabung	v		-	-	gabung
berganti	1	baganti	v		-	-	ganti
bergantian	1	gunta-ganti	v		-	-	ganti
bergantung	1	ngagantung	v		-	-	gantung
bergayut	0	burayot	-				burayot
bergelar	1	boga gelar	v		-	-	gelar
bergerak	1	usik	v		-	-	usik
bergerigi	1	rérégéan	v		-	-	régé
bergerombol	0	noyék	-				noyék
bergeser	0	menggok	-				menggok
bergidik	1	ngabirigidig	v		-	-	birigidig
bergulir	1	ngagulundung	v		-	-	gulundung
berguman	1	ngagereyem	v		-	-	gereyem
bergumpal	1	ngadagleg	v		-	-	dagleg
bergumul	1	muket	v		-	-	puket
berguna	1	kapaké	a		-	-	paké
berguncang	1	inggeung	v		-	-	inggeung
berhadapan	1	pahareup-hareup	v		-	-	hareup
berhak	1	ngabogaan hak	v		-	-	hak
berharap	1	ngaharepkeun	v		-	-	harep
berhasil	0	laksana	ad		-	-	laksana
berhasil	1	junun	ad		-	-	junun
berhasrat	1	boga hasrat	v		-	-	hasrat
berhenti	1	eureun	v		-	-	eureun
berhenti	1	ngandeg	v		-	-	andeg
berhentilah	1	eureun	v		-	-	eureun
berhimpitan	1	padempét	a		-	-	dempét
berhubungan	1	nyambung	v		-	-	sambung
beri	1	béré	v		-	-	béré
berikan	1	bikeun	vi		-	-	bikeun
berikutnya	1	saterusna	a		-	-	terus
berimanlah	1	iman	v		-	-	iman
beringas	1	buringas	a		-	-	buringas
berisi	1	eusina	v		-	-	eusi
berisi	1	beuneur	a		-	-	beuneur
berita	1	warta	n		-	-	warta
berjaga	1	ngajaga	v		-	-	jaga
berjaga-jaga	1	ngajaga-jaga	v		-	-	jaga
berjalan	1	leumpang	v		-	-	leumpang
berjanji	1	jangji	v		-	-	jangji
berjongkok	1	ngangkog	v		-	-	angkog
berjuang	1	bajoang	v		-	-	joang
berjudul	1	dijudulan	v		-	-	judul
berjumpa	1	paamprok	v		-	-	amprok
berjuntai	1	rambay	v		-	-	rambay
berjuntai	1	ngambay	v		-	-	ambay
berkaitan	1	patula-patali	v		-	-	tali
berkali-kali	1	sababaraha-kali	a		-	-	baraha
berkarakter	1	boga sipat	v		-	-	sipat
berkas	1		n		-	-	berkas
berkata	1	ngomong	v		-	-	omong
berkecimpung	1	ancrub	v		-	-	ancrub
berkedip	1	ngiceup	v		-	-	kiceup
berkelahi	1	tarung	v		-	-	tarung
berkelahi	0	galungan	-				galungan
berkelana	1	ngalalana	v		-	-	ngalalana
berkeluh-kesah	1	rumahuh	v		-	-	rahuh
berkembang	1	ngembang	v		-	-	kembang
berkerumun	0	rogrog	-				rogrog
berkesempatan	1	boga kasempetan	v		-	-	sempet
berkesinambungan	1	sinambungan	a		-	-	sambung
berkibar	1	ngahibar	v		-	-	hibar
berkibarnya	1	hibarna	v		-	-	hibar
berkilauan	1	ngempur	v		-	-	ngempur
berkisah	1	nyaritakeun	v		-	-	carita
berkomentar	1	ngoméntaran	v		-	-	koméntar
berkorban	1	ngorbankeun	v		-	-	korban
berkuasa	1	ngawasa	v		-	-	kawasa
berkumpul	1	ngariung	v		-	-	riung
berkumpul	0	jarumpluk	-				jarumpluk
berkumpul	1	ngariung	v		-	-	riung
berkumpulnya	1	ngariungna	v		-	-	riung
berkunjung	1	nganjang	v		-	-	anjang
berkurang	1	ngurangan	a		-	-	kurang
berlainan	1	nu béda	v		-	-	béda
berlaku	1	lumaku	v		-	-	lumaku
berlandaskan	1	dumasar kana	vp		-	-	dumasar kana
berlangsung	1	lumangsung	v		-	-	langsung
berlanjut	1	nerus	v		-	-	nerus
berlari	1	lumpat	v		-	-	lumpat
berlarian	1	lulumpatan	v		-	-	lulumpatan
berlatih	1	latihan	v		-	-	latih
berlayar	1	balayar	v		-	-	balayar
berlebihan	1	kaleuleuwihan	a		-	-	leuwih
berlepotan	1	caremot	a		-	-	caremot
berlima	1	limaan	b		-	-	lima
berlipat	1	ngalipet	v		-	-	lipet
berlisensi	1	boga lisénsi	v		-	-	lisénsi
berlomba-lomba	1	paheula-heula	v		-	-	heula
berlutut	1	deku	v		-	-	deku
bermain	1	ulin	v		-	-	maén
bermaksud	1	boga maksud	v		-	-	maksud
bermanfaat	1	méré mangpaat	v		-	-	mangpaat
bermigrasi	1	pindah	v		-	-	pindah
berminyak	1	lucir	a		-	-	lucir
bermuara	1	ngamuara	v		-	-	ngamuara
bermuatan	1	boga muatan	v		-	-	muat
bermula	1	dimimitian	vp		-	-	mimitian
bermunculan	1	padamucunghul	v		-	-	mucunghul
bernama	1	ngaranna	v		-	-	ngaran
bernapas	0	dami	-				dami
berniaga	1	babalantik	v		-	-	balantik
berniat	1	boga niat	v		-	-	niat
bernyanyi-nyanyi	1	karakawihan	v		-	-	kawih
berolahraga	1	ngolah raga	v		-	f	olahraga
berpegang	1	nyekelan	v		-	-	cekel
berpendapat	1	boga pamadegan	v		-	-	adeg
berpengalaman	1	boga pangalaman	v		-	-	alam
berpenghuni	1	dicicingan	v		-	-	cicing
berperilaku	1	milampah	v		-	-	milampah
berpesan	1	nalatahan	v		-	-	talatah
berpikir	1	mikir	v		-	-	pikir
berpindah	1	pindah	v		-	-	pindah
berpoligami	1	ngawayuh	v		-	-	wayuh
berposisi	1	boga posisi	v		-	-	posisi
berpoténsi	1	boga poténsi	v		-	-	poténsi
berpuasa	1	puasa	v		agama	-	puasa
berputar	1	muter	v		-	-	puteri
bersahabat	1	soméah	a		-	-	soméah
bersahutan	1	patémbalan	v		-	-	témbal
bersalah	1	boga salah	v		-	-	salah
bersama	1	babarengan	a		-	-	bareng
bersamaan	1	babarengan	a		-	-	bareng
bersama-sama	1	babarengan	a		-	-	bareng
bersatu	1	ngahiji	v		-	-	hiji
bersaudara	1	duduluran	a		-	-	dulur
bersebelahan	1	nyabeulahan	v		-	-	beulah
bersembilan	1	salapanan	b		-	-	salapan
bersembunyi	0	dempés	-				dempés
bersembunyi	1	nyumput	v		-	-	sumput
bersenggolan	0	pagilinggisik	-				gilinggisik
bersenjata	1	nyekel pakarang	v		-	-	pakarang
bersepuluh	1	sapuluhan	b		-	-	sapuluh
berserah	1	sumerah	v		-	-	serah
berserakan	1	ambacak	a		-	-	ambacak
berserakan	0	mayak	-				mayak
bersifat	1	boga sipat	v		-	-	sipat
bersih	1		a		-	-	bersih
bersimpuh	1	andeprok	v		-	-	andeprok
bersinar-sinar	1	marahmay	a		-	-	marahmay
berskala	1	boga skala	v		-	-	skala
bersoraklah	1	sarurak	v		-	-	surak
bersujud	1	sumujud	v		-	-	sumujud
bersungut-sungut	1	ngutruk	v		-	-	kutruk
bertabrakan	1	tabrakan	v		-	-	tabrak
bertahan	1	tahan	v		-	-	tahan
bertambah	1	nambahan	v		-	-	tambah
bertamu	1	natamu	v		-	-	tamu
bertandang	1	nyimpang	v		-	-	simpang
bertanding	1	tanding	v		-	-	tanding
bertanggung	1	tanggung	v		-	-	tanggung
bertanggungjawab	1	tanggung jawab	v		-	-	tanggung
bertanya	1	nanya	v		-	-	tanya
bertanya-tanya	1	nanya-nanya	v		-	-	tanya
bertata	1	boga tata	v		-	-	tata
bertelepon	1	nelepon	v		-	-	telepon
berteman	1	ngabatur	v		-	-	ngabatur
bertemu	1	papanggih	v		-	-	panggih
bertemunya	1	paamprokna	v		-	-	paamprokna
bertengkar	1	paraséa	v		-	-	paséa
bertengkar	0	pecoh	-				pecoh
bertentangan	1	teu saluyu	v		-	-	saluyu
bertepatan	1	pas pisan	a		-	-	pas
berterbangan	1	rabeng	v		-	-	beng
berteriak	1	ceuceuleuweungan	v		-	-	ceuleuweung
berterimakasih	1	nganuhunkeun	v		-	-	nuhun
bertiga	1	tiluan	b		-	-	tilu
bertolak	1	indit	v		-	-	indit
bertolak-belakang	1	patukang-tonggong	ad		-	-	tukang
bertugas	1	ngabogaan tugas	v		-	-	tugas
bertujuan	1	boga tujuan	v		-	-	tujuan
bertujuh	1	tujuhan	b		-	-	tujuh
berubah	1	robah	v		-	-	robah
berudu	1	buruy	n		sato	-	buruy
berujung	1	boga tungtung	v		-	-	tungtung
berukuran	1	ukuranana	v		-	-	ukur
berulang-ulang	1	deudeuieun	ad		-	-	deui
berumput	1	jukutan	a		tutuwuhan	-	jukut
beruntung	1	nanjung	v		-	-	tanjung
beruntung	1	boga untung	v		-	-	untung
berupa	1	mangrupa	v		-	-	rupa
berupaya	1	narékahan	v		-	-	tarékah
berurutan	1	runtuy	v		-	-	runtuy
berusaha	1	usaha	v		-	-	usaha
berusia	1	umurna	n		-	-	umur
berutang	1	nganjuk	v		-	-	anjuk
bervariasi	1	variatif	v		-	-	variatif
berwarna	1	boga warna	v		-	-	warna
berwatak	1	miboga watek	v		-	-	watek
besan	0	warang	-				warang
besar	1	badag	a		-	-	gedé
besar	0	gedé	a		-	-	gedé
besar	0	rongkah	-				rongkah
besar-besaran	1	gegedéan	a		-	-	gedé
besarnya	0	gedéna	a		-	-	gedé
besarnya	1	badagna	a		-	-	gedé
beserta	1	bareng	v		-	-	bareng
besi	1	beusi	n		logam	-	beusi
besok	1	isuk	a		waktu	-	isuk
besok	1	isukan	n		waktu	-	isuk
betah	1		a		-	-	betah
betis	1	bitis	n		awak	-	bitis
betul	1	bener	a		-	-	bener
betul-betul	1	enyaan	ad		-	-	enya
biasa	1	dawam	a		-	-	dawam
biasanya	1	biasana	-		-	-	biasa
biaya	1	waragad	n		-	-	waragad
biayanya	1	biayana	-		-	-	biaya
bibinya	1	bibina	n		-	-	bibi
bibir	1	biwir	n		awak	-	biwir
bicara	1	ngomong	v		-	-	omong
bicaranya	1	ngomongna	v		-	-	omong
bidang	1	widang	n		-	-	widang
bidik	1	kécéng	vi		-	-	kécéng
bidikan	1	kécéngan	-		-	-	kécéng
bijaksana	1	wijaksana	a		-	-	wijaksana
bijan	1	wijén	n		tutuwuhan	-	wijén
biji	1	siki	n		tutuwuhan	-	seke
bikin	1	nyieun	v		-	-	nyieun
bilang	1	ngomong	v		-	-	omong
bilateral	1		a		-	-	bilateral
binatang	1	sato	n		-	-	sato
bingung	1	katalimbeng	a		-	-	katalimbeng
bingung	1		a		-	-	bingung
bintang	1	béntang	n		-	-	béntang
bintara	1		n		-	-	bintara
biru	1	bulao	a		warna	-	bulao
bisa	0	wudu	-				wudu
bisik	0	haréwos	-				haréwos
bisnis	1		n		-	-	bisnis
bisu	1	pégo	a		awak	-	pégo
blak-blakan	1	togmol	ad		-	-	togmol
blognya	1	blogna	n		-	-	blog
blok	1		n		-	-	blok
bobol	1	bobok	a		-	-	bobok
bobot	0	momot	-				momot
bocor	1		a		-	-	bocor
bodoh	0	belet	-				belet
bogem	1	peureup	n		awak	-	peureup
bohong-bohongan	1	wawadukan	ad		-	-	waduk
bola	1	bal	n		-	-	bal
bolong	0	tosblong	-				tosblong
bolos	0	mangkir	-				mangkir
bolos	1		v		-	-	bolos
borong	0	bajong	-				bajong
boros	1	awuntah	a		-	-	awuntah
bosan	1	bosen	a		-	-	bosen
brigade	1		-		-	-	brigade
buah	1		-		-	-	buah
buahnya	1	buahna	-		-	-	buah
buang	1	piceun	v		-	-	piceun
buatan	1	jieunan	n		-	-	jieun
buatan	1	jieunan	n		-	-	jieun
buaya	1		n		-	-	buaya
bubar	0	buyar	-				buyar
bubungan	1	wuwungan	n		-	-	wuwung
budaya	1		n		-	-	budaya
bukit	1	pasir	n		topograpi	-	pasir
bukti	1		n		-	-	bukti
buku	1		n		-	-	buku
bukunya	1	bukuna	n		-	-	buku
bulan	1	bulan 	n		waktu	-	bulan
bulanan	1		n		waktu	-	bulan
bulat	1	buleud	a		-	-	buleud
bulutangkis	1	badminton	n				
bumbu	1	samara	n		-	-	samara
bumi	1		n		-	-	bumi
buncit	0	gendol	-				gendol
bundaran	1	bunderan	n		-	-	bunder
bunga	1	kembang	n		-	-	kembang
bungkam	1	bungkem	v		-	-	bungkem
bungkam	1	balem	v		-	-	balem
bungkuk	1	bongkok	a		-	-	bongkok
bungkus	0	bulen	-				bulen
bungkus	1	tungkus	n		-	-	tungkus
bungkus	1		n		-	-	bungkus
bungkusnya	1	bungkusna	n		-	-	bungkus
bunyi	1	sada	n		-	-	sada
buram	1	reueuk	a		-	-	reueuk
bursa	1		n				
buruh	1		n		-	-	buruh
buruk	1	goréng	a		-	-	goréng
burung	1	manuk	n		-	-	manuk
bus	1	beus	n		-	-	beus
buta	1	lolong	-		-	-	lolong
butek	1		a		-	-	butek
butuhnya	1	perluna	-		-	-	perlu
buyar	0	puyar	-				puyar
cabai	1	cabé	n		-	-	cabe
